Lat:    34.8333, Lon:  -123.0000, Parameter: z(m)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
29-Nov-2017 14:59:59     0.6518
29-Nov-2017 15:59:59     0.5415
29-Nov-2017 16:59:59     0.3266
29-Nov-2017 17:59:59     0.0557
29-Nov-2017 18:59:59    -0.2101
29-Nov-2017 19:59:59    -0.4124
29-Nov-2017 20:59:59    -0.5091
29-Nov-2017 21:59:59    -0.4851
29-Nov-2017 22:59:59    -0.3553
29-Nov-2017 23:59:59    -0.1605
30-Nov-2017 00:59:59     0.0434
30-Nov-2017 01:59:59     0.2000
30-Nov-2017 02:59:59     0.2670
30-Nov-2017 03:59:59     0.2274
30-Nov-2017 04:59:59     0.0942
30-Nov-2017 05:59:59    -0.0930
30-Nov-2017 06:59:59    -0.2780
30-Nov-2017 07:59:59    -0.4031
30-Nov-2017 08:59:59    -0.4241
30-Nov-2017 09:59:59    -0.3226
30-Nov-2017 10:59:59    -0.1119
30-Nov-2017 11:59:59     0.1650
30-Nov-2017 12:59:59     0.4458
30-Nov-2017 13:59:59     0.6634
30-Nov-2017 14:59:59     0.7627
30-Nov-2017 15:59:59     0.7149
30-Nov-2017 16:59:59     0.5246
30-Nov-2017 17:59:59     0.2297
30-Nov-2017 18:59:59    -0.1076
30-Nov-2017 19:59:59    -0.4152
30-Nov-2017 20:59:59    -0.6288
30-Nov-2017 21:59:59    -0.7071
30-Nov-2017 22:59:59    -0.6414
30-Nov-2017 23:59:59    -0.4577
01-Dec-2017 00:59:59    -0.2089
01-Dec-2017 01:59:59     0.0386
01-Dec-2017 02:59:59     0.2220
01-Dec-2017 03:59:59     0.2981
01-Dec-2017 04:59:59     0.2547
01-Dec-2017 05:59:59     0.1128
01-Dec-2017 06:59:59    -0.0786
01-Dec-2017 07:59:59    -0.2559
01-Dec-2017 08:59:59    -0.3578
01-Dec-2017 09:59:59    -0.3422
01-Dec-2017 10:59:59    -0.1979
01-Dec-2017 11:59:59     0.0511
01-Dec-2017 12:59:59     0.3507
01-Dec-2017 13:59:59     0.6296
01-Dec-2017 14:59:59     0.8166
01-Dec-2017 15:59:59     0.8590
01-Dec-2017 16:59:59     0.7360
01-Dec-2017 17:59:59     0.4648
01-Dec-2017 18:59:59     0.0974
01-Dec-2017 19:59:59    -0.2916
01-Dec-2017 20:59:59    -0.6222
01-Dec-2017 21:59:59    -0.8283
01-Dec-2017 22:59:59    -0.8734
01-Dec-2017 23:59:59    -0.7586
02-Dec-2017 00:59:59    -0.5215
02-Dec-2017 01:59:59    -0.2266
02-Dec-2017 02:59:59     0.0518
02-Dec-2017 03:59:59     0.2481
02-Dec-2017 04:59:59     0.3223
02-Dec-2017 05:59:59     0.2692
02-Dec-2017 06:59:59     0.1191
02-Dec-2017 07:59:59    -0.0705
02-Dec-2017 08:59:59    -0.2310
02-Dec-2017 09:59:59    -0.3013
02-Dec-2017 10:59:59    -0.2446
02-Dec-2017 11:59:59    -0.0592
02-Dec-2017 12:59:59     0.2198
02-Dec-2017 13:59:59     0.5285
02-Dec-2017 14:59:59     0.7897
02-Dec-2017 15:59:59     0.9323
02-Dec-2017 16:59:59     0.9095
02-Dec-2017 17:59:59     0.7114
02-Dec-2017 18:59:59     0.3684
02-Dec-2017 19:59:59    -0.0547
